Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
111,Dillon Brooks,29,HOU,SF,47,47,32.3,4.9,11.8,.418,2.3,6.1,.386,2.6,5.7,.452,.517,1.3,1.6,.851,1.2,2.6,3.8,1.5,0.8,0.2,1.1,3.5,13.6,,brookdi01
112,Malcolm Brogdon,32,WAS,PG,20,13,24.5,4.6,10.5,.435,0.8,2.5,.300,3.8,8.0,.478,.471,3.6,4.1,.866,1.0,3.2,4.1,4.1,0.5,0.3,1.7,1.5,13.4,,brogdma01
113,Bobby Portis,29,MIL,PF,41,5,24.7,5.5,11.7,.466,1.3,3.5,.364,4.2,8.2,.509,.520,1.2,1.5,.817,1.7,6.2,7.9,2.0,0.7,0.5,1.2,1.8,13.4,,portibo01
114,Klay Thompson,34,DAL,SF,44,44,27.3,4.8,11.7,.411,3.0,7.7,.389,1.8,4.0,.454,.540,0.8,0.9,.902,0.7,2.8,3.5,2.0,0.8,0.4,1.5,1.2,13.4,,thompkl01
115,D'Angelo Russell,28,2TM,PG,41,19,25.9,4.4,11.0,.405,2.0,5.9,.339,2.4,5.0,.483,.497,2.2,2.5,.882,0.3,2.6,2.9,5.3,1.0,0.4,1.8,1.9,13.1,,russeda01
115,D'Angelo Russell,28,LAL,PG,29,10,26.3,4.4,10.7,.415,1.9,5.8,.333,2.5,4.9,.510,.505,1.6,1.8,.849,0.3,2.5,2.8,4.7,0.8,0.1,1.7,1.8,12.4,,russeda01
115,D'Angelo Russell,28,BRK,PG,12,9,25.0,4.4,11.5,.384,2.2,6.2,.351,2.3,5.3,.422,.478,3.8,4.1,.918,0.4,2.8,3.2,6.8,1.4,1.0,2.0,2.1,14.8,,russeda01
116,Tobias Harris,32,DET,PF,48,48,32.1,5.0,11.1,.450,1.3,3.9,.324,3.7,7.2,.519,.508,1.8,2.1,.861,0.9,5.1,6.0,2.4,0.9,0.9,1.1,1.9,13.1,,harrito02
117,Russell Westbrook,36,DEN,PG,48,27,27.7,4.9,10.3,.477,1.1,3.5,.331,3.8,6.8,.550,.532,2.0,3.2,.641,1.4,3.7,5.1,6.4,1.5,0.5,3.0,2.5,13.0,,westbru01
118,Moritz Wagner,27,ORL,C,30,1,18.8,4.7,8.3,.562,0.9,2.5,.360,3.8,5.8,.649,.616,2.6,3.7,.718,1.3,3.6,4.9,1.4,0.8,0.4,1.6,1.8,12.9,,wagnemo01
