Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
178,Andrew Nembhard,25,IND,SG,33,33,938,13.5,.569,.278,.296,2.1,11.4,6.8,24.2,2.1,0.4,15.5,17.5,1.0,0.7,1.7,.086,-1.6,0.2,-1.4,0.1,,nembhan01
179,John Collins,27,UTA,PF,31,22,927,19.5,.639,.260,.296,8.4,22.0,15.3,12.6,1.6,3.2,15.7,23.6,1.5,0.7,2.3,.117,1.7,-0.2,1.5,0.8,,collijo01
180,Naji Marshall,27,DAL,SF,38,14,925,14.3,.578,.323,.196,3.9,11.7,7.9,15.0,1.9,0.4,12.6,18.9,1.0,0.7,1.7,.091,-0.5,0.0,-0.5,0.4,,marshna01
181,Isaiah Joe,25,OKC,SG,44,11,924,13.3,.595,.783,.075,2.3,10.4,6.4,8.9,1.7,0.7,5.3,17.4,1.4,1.5,2.9,.149,0.8,0.3,1.1,0.7,,joeis01
182,Brandon Miller,22,CHO,SF,27,27,924,14.2,.540,.597,.161,2.8,12.7,7.6,18.1,1.5,2.1,12.6,27.5,0.0,0.8,0.9,.046,0.9,-0.8,0.2,0.5,,millebr02
183,Dorian Finney-Smith,31,2TM,PF,34,23,913,11.2,.624,.693,.126,5.5,11.5,8.4,7.0,1.6,1.3,10.3,13.1,1.0,0.6,1.7,.088,-0.7,-0.2,-0.9,0.3,,finnedo01
183,Dorian Finney-Smith,31,BRK,PF,20,20,579,12.3,.613,.679,.151,6.0,12.4,9.1,8.2,1.5,2.1,9.6,14.3,0.7,0.4,1.1,.095,0.0,0.0,0.0,0.3,,finnedo01
183,Dorian Finney-Smith,31,LAL,PF,14,3,334,9.2,.647,.722,.069,4.5,9.9,7.3,4.8,1.6,0.0,11.9,11.1,0.3,0.2,0.5,.077,-1.9,-0.4,-2.4,0.0,,finnedo01
184,Isaiah Stewart,23,DET,C,45,3,911,13.9,.584,.171,.228,10.9,20.6,15.8,11.2,1.0,5.9,15.5,11.7,1.3,1.2,2.5,.130,-1.9,1.7,-0.2,0.4,,stewais01
185,Kevin Huerter,26,SAC,SG,43,15,899,10.6,.524,.661,.090,2.3,12.4,7.3,11.0,1.9,1.7,10.3,17.0,0.1,0.8,0.9,.046,-2.2,-0.1,-2.4,-0.1,,huertke01
186,T.J. McConnell,32,IND,PG,48,0,898,19.1,.549,.068,.111,3.4,12.1,7.8,36.5,3.2,1.4,14.6,24.5,0.9,1.0,1.9,.102,0.6,0.7,1.3,0.8,,mccontj01
